Date,Code,Name,Market,TimeSession,EntryPrice,ExitPrice,Slippage(%),PnL(%),MinPnL(%),MaxPnL(%),VolBurstRatio,EntryATR,EntryVWAPGap(%),MacroTrend,MacroGap(%),HoldTime(s),ExitReason
2026-04-09 11:37:15,214390,경보제약,KOSPI,Mid(09:30~14:00),7610,7520,-0.13,-1.18,-1.18,0.13,3.56,185.71,0.37,정배열,0.0,29,손절(SL)
2026-04-09 12:14:19,475150,SK이터닉스,KOSPI,Mid(09:30~14:00),59400,58800,0.0,-1.01,-1.01,0.17,2.05,214.29,-1.16,정배열,0.0,3725,손절(SL)
2026-04-09 13:25:23,005930,삼성전자,KOSPI,Mid(09:30~14:00),204500,202000,0.0,-1.22,-1.22,0.49,2.42,946.43,-0.65,정배열,0.0,11393,손절(SL)
2026-04-09 14:05:39,278470,에이피알,KOSPI,Mid(09:30~14:00),371500,367500,0.0,-1.08,-1.08,0.94,2.9,1785.71,0.01,정배열,0.0,5691,손절(SL)
2026-04-10 09:00:21,103140,풍산,KOSPI,Close(14:00~),102600,100000,-1.19,-2.53,-2.53,-1.56,2.91,271.43,-0.64,정배열,0.0,57751,손절(SL)
2026-04-10 09:02:23,108860,셀바스AI,KOSDAQ,Close(14:00~),13340,13170,0.0,-1.27,-1.27,-0.3,2.62,36.43,-0.63,정배열,0.0,51044,손절(SL)
2026-04-10 09:11:12,095610,테스,KOSDAQ,Open(09:00~09:30),84000,85000,0.0,1.19,-0.6,1.19,4.22,1178.57,2.31,정배열,0.0,108,50%분할익절
2026-04-10 09:12:53,047040,대우건설,KOSPI,Open(09:00~09:30),25050,24400,-1.01,-2.59,-2.59,-2.59,2.09,532.14,-0.63,정배열,0.0,5,손절(SL)
2026-04-10 09:12:59,050890,쏠리드,KOSDAQ,Open(09:00~09:30),15420,15160,-0.46,-1.69,-1.69,-1.49,9.55,170.71,2.33,정배열,0.0,8,손절(SL)
2026-04-10 09:13:11,006360,GS건설,KOSPI,Open(09:00~09:30),37700,37150,0.0,-1.46,-1.46,-1.06,3.6,575.0,-0.93,정배열,0.0,21,손절(SL)
2026-04-10 09:13:23,215790,이노인스트루먼트,KOSDAQ,Open(09:00~09:30),3115,3160,0.32,1.44,-1.77,1.44,3.57,134.64,-2.02,정배열,0.0,31,50%분할익절
2026-04-10 09:13:38,215790,이노인스트루먼트,KOSDAQ,Open(09:00~09:30),3115,3110,-0.16,-0.16,-1.77,1.61,3.57,134.64,-2.02,정배열,0.0,45,트레일링스탑(익절)
2026-04-10 09:14:31,079550,LIG넥스원,KOSPI,Open(09:00~09:30),916000,903000,0.0,-1.42,-1.42,0.11,2.17,6928.57,1.42,정배열,0.0,309,손절(SL)
2026-04-10 09:16:20,033790,피노,KOSDAQ,Open(09:00~09:30),10990,10850,0.0,-1.27,-1.27,-0.36,4.36,165.0,2.83,정배열,0.0,49,손절(SL)
2026-04-10 09:16:55,008350,남선알미늄,KOSPI,Open(09:00~09:30),2330,2290,0.0,-1.72,-1.72,0.21,4.14,35.0,2.99,정배열,0.0,85,손절(SL)
2026-04-10 09:18:50,011930,신성이엔지,KOSPI,Open(09:00~09:30),3475,3520,0.14,1.29,0.0,1.29,5.44,49.29,2.97,정배열,0.0,44,50%분할익절
2026-04-10 09:18:54,034220,LG디스플레이,KOSPI,Open(09:00~09:30),12710,12880,0.0,1.34,-0.55,1.34,4.12,125.0,2.09,정배열,0.0,206,50%분할익절
